net,length_um
i_mode_reg[5],19.9µm
net7,19.86µm
net8,19.86µm
net56,19.82µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.count\[5\],19.76µm
_0089_,19.74µm
i_mode_reg[3],19.68µm
_0302_,19.65µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.state\[3\],19.64µm
_0480_,19.62µm
net95,19.59µm
_0001_,19.58µm
net16,19.4µm
net11,19.38µm
o_receive_data[7],19.37µm
u_i2c_master_controller.cntrl_fsm.byte_rx_fsm.state\[0\],19.08µm
net148,19.045µm
i_byte_cnt_reg[1],19.03µm
net247,19.02µm
_0048_,18.82µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[5\],18.82µm
_0530_,18.76µm
net27,18.72µm
_0454_,18.68µm
_0370_,18.62µm
net35,18.6µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.i_slave_addr\[6\],18.52µm
net107,18.5µm
_0371_,18.405µm
_0496_,18.4µm
i_clk_div_lsb[5],18.35µm
i_clk_div_lsb[2],18.31µm
u_i2c_master_controller.cntrl_fsm.abort_ack_reg,18.22µm
u_i2c_master_controller.cntrl_fsm.byte_rx_done,18.18µm
_0457_,18.16µm
net50,18.14µm
_0317_,18.12µm
i_mode_reg[6],18.12µm
_0029_,18µm
_0365_,17.98µm
_0507_,17.94µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.i_slave_addr\[4\],17.91µm
_0376_,17.84µm
i_config_reg[0],17.84µm
i_transmit_data[7],17.84µm
u_i2c_master_controller.cntrl_fsm.tx_err,17.8µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.i_tx_data\[1\],17.71µm
u_i2c_master_controller.cntrl_fsm.byte_cnt\[2\],17.68µm
_0006_,17.66µm
net34,17.66µm
_0090_,17.54µm
net5,17.5µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[11\],17.46µm
net162,17.4µm
i_byte_cnt_reg[6],17.39µm
net31,17.36µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.state\[7\],17.36µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.count\[4\],17.32µm
i_config_reg[4],17.16µm
o_cmd_status_reg[4],17.16µm
i_clk_div_lsb[1],17.15µm
_0038_,17.14µm
net45,17.08µm
i_byte_cnt_reg[0],16.99µm
_0453_,16.98µm
u_i2c_master_controller.cntrl_fsm.rx_err,16.96µm
net165,16.92µm
_0156_,16.66µm
net144,16.64µm
u_i2c_master_controller.cntrl_fsm.intr_clr_reg2,16.6µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.state\[0\],16.56µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.modulus\[5\],16.48µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[3\],16.48µm
i_byte_cnt_reg[4],16.37µm
net185,16.37µm
_0521_,16.26µm
u_i2c_master_controller.cntrl_fsm.byte_cnt\[4\],16.26µm
u_i2c_master_controller.filter_sda.out_n,16.2µm
_0341_,16.16µm
_0513_,16.12µm
net266,16.1µm
_0035_,16.08µm
net159,16.04µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.modulus\[4\],16.02µm
i_transmit_data[0],16µm
_0425_,15.98µm
_0340_,15.94µm
_0384_,15.92µm
net240,15.84µm
i_mode_reg[7],15.8µm
_0017_,15.76µm
net23,15.76µm
u_i2c_master_controller.cntrl_fsm.byte_cnt\[0\],15.72µm
net187,15.72µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[15\],15.64µm
net157,15.56µm
net176,15.49µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.i_tx_data\[4\],15.42µm
net230,15.38µm
_0369_,15.36µm
_0321_,15.26µm
u_i2c_master_controller.cntrl_fsm.abort_ack,15.2µm
i_byte_cnt_reg[3],15.15µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[3\],15.14µm
net171,15.04µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.i_tx_data\[6\],15.02µm
_0319_,14.96µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.state\[0\],14.94µm
_0286_,14.82µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[12\],14.82µm
_0360_,14.8µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[11\],14.76µm
net142,14.76µm
_0145_,14.68µm
o_receive_data[0],14.67µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.i_tx_data\[7\],14.66µm
net170,14.62µm
u_i2c_master_controller.cntrl_fsm.byte_cnt\[6\],14.52µm
_0409_,14.5µm
net6,14.42µm
u_i2c_master_controller.cntrl_fsm.abort_reg,14.42µm
_0309_,14.3µm
_0045_,14.265µm
net21,14.245µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.state\[6\],14.24µm
_0512_,14.2µm
_0509_,14.18µm
net139,14.18µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_done,14.16µm
net133,14.13µm
_0402_,14.06µm
i_mode_reg[1],14.05µm
net216,13.96µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.o_rx_done,13.94µm
i_clk_div_lsb[4],13.93µm
u_i2c_master_controller.cntrl_fsm.byte_rx_fsm.state\[6\],13.805µm
net44,13.8µm
net24,13.74µm
net25,13.74µm
_0041_,13.72µm
_0434_,13.72µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.modulus\[0\],13.69µm
net149,13.68µm
_0002_,13.66µm
_0278_,13.62µm
_0382_,13.56µm
_0397_,13.52µm
u_i2c_master_controller.soft_reset_d2,13.46µm
net280,13.32µm
_0477_,13.3µm
net210,13.26µm
i_config_reg[2],13.24µm
_0275_,13.1µm
u_i2c_master_controller.i2cbus_cntrl_fsm.i2c_master_stop_sda_i,13.08µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.state\[4\],13.04µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[13\],13.04µm
_0450_,12.98µm
_0296_,12.96µm
net46,12.96µm
_0101_,12.92µm
u_i2c_master_controller.cntrl_fsm.rx_err_reg,12.88µm
_0393_,12.86µm
_0356_,12.79µm
_0129_,12.7µm
_0335_,12.7µm
_0040_,12.66µm
net43,12.66µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.byte_count_i\[5\],12.66µm
net146,12.66µm
_0057_,12.62µm
_0413_,12.6µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.modulus\[2\],12.59µm
net256,12.58µm
_0346_,12.54µm
u_i2c_master_controller.cntrl_fsm.byte_rx_fsm.o_rx_ack_sda,12.54µm
_0013_,12.5µm
_0352_,12.46µm
_0474_,12.44µm
u_i2c_master_controller.cntrl_fsm.txintr_en,12.38µm
_0390_,12.34µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.i_tx_data\[5\],12.325µm
i_slave_addr_reg[6],12.32µm
_0405_,12.28µm
_0375_,12.24µm
net284,12.24µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.rx_en,12.2µm
_0285_,12.14µm
_0478_,12.14µm
u_i2c_master_controller.cntrl_fsm.rxintr_en,12.14µm
_0072_,12.12µm
_0481_,12.12µm
net269,12.12µm
net160,12.08µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[15\],12.06µm
_0249_,12.045µm
u_i2c_master_controller.cntrl_fsm.byte_rx_fsm.state\[3\],12.02µm
_0406_,12µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[13\],11.96µm
_0392_,11.9µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.modulus\[3\],11.865µm
_0401_,11.82µm
u_i2c_master_controller.filter_scl.in_d2,11.78µm
net152,11.78µm
net274,11.78µm
_0468_,11.735µm
_0498_,11.72µm
_0318_,11.62µm
i_clk_div_lsb[7],11.61µm
u_i2c_master_controller.bps_mode\[1\],11.58µm
net172,11.58µm
_0019_,11.5µm
_0222_,11.465µm
_0350_,11.46µm
_0240_,11.445µm
_0472_,11.44µm
net235,11.42µm
u_i2c_master_controller.cntrl_fsm.byte_rx_fsm.state\[7\],11.3µm
i_clk_div_lsb[6],11.21µm
_0239_,11.205µm
u_i2c_master_controller.cntrl_fsm.byte_rx_fsm.i_rx_en,11.2µm
net103,11.17µm
net145,11.16µm
_0515_,11.12µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.i_start_gen_ack,11.12µm
_0429_,11.06µm
_0485_,11.04µm
u_i2c_master_controller.cntrl_fsm.byte_cnt\[1\],10.96µm
_0445_,10.92µm
net178,10.92µm
net227,10.9µm
net238,10.9µm
_0030_,10.86µm
u_i2c_master_controller.cntrl_fsm.byte_cnt\[5\],10.86µm
_0000_,10.78µm
_0209_,10.78µm
_0305_,10.78µm
_0310_,10.78µm
u_i2c_master_controller.soft_reset_d3,10.78µm
_0014_,10.74µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.count_reset,10.74µm
_0080_,10.7µm
_0437_,10.7µm
_0416_,10.68µm
_0525_,10.68µm
_0415_,10.6µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.state\[3\],10.48µm
_0289_,10.46µm
_0132_,10.38µm
_0284_,10.38µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.o_tx_done,10.38µm
net13,10.36µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.state\[2\],10.36µm
_0022_,10.32µm
u_i2c_master_controller.cntrl_fsm.rx_done_d1,10.32µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.i_slave_addr\[3\],10.31µm
_0248_,10.3µm
net226,10.28µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.o_byte_tx_sda,10.26µm
_0092_,10.24µm
_0391_,10.24µm
_0387_,10.2µm
_0462_,10.2µm
_0085_,10.06µm
net228,10µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.state\[2\],9.94µm
_0008_,9.9µm
_0215_,9.78µm
_0505_,9.76µm
net189,9.74µm
_0217_,9.7µm
net12,9.7µm
net180,9.66µm
_0359_,9.56µm
_0364_,9.52µm
net32,9.44µm
_0028_,9.4µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.state\[6\],9.4µm
_0091_,9.28µm
_0348_,9.28µm
u_i2c_master_controller.cntrl_fsm.byte_rx_fsm.state\[4\],9.28µm
_0214_,9.2µm
_0098_,9.18µm
_0456_,9.14µm
net203,9.14µm
net244,9.14µm
_0303_,9.08µm
_0190_,9.07µm
net60,9.02µm
net264,9.02µm
_0279_,8.98µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.o_start_gen_en,8.98µm
_0463_,8.94µm
net206,8.9µm
i_byte_cnt_reg[2],8.89µm
i_slave_addr_reg[3],8.89µm
net167,8.86µm
net271,8.82µm
net137,8.78µm
net222,8.78µm
net26,8.76µm
_0235_,8.68µm
_0242_,8.66µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.i_tx_data\[2\],8.64µm
_0083_,8.56µm
net164,8.56µm
_0020_,8.54µm
_0047_,8.52µm
_0203_,8.52µm
_0280_,8.52µm
u_i2c_master_controller.bps_mode\[0\],8.52µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.state\[1\],8.52µm
net190,8.52µm
_0494_,8.44µm
_0399_,8.3µm
_0301_,8.29µm
_0110_,8.28µm
_0171_,8.28µm
_0093_,8.26µm
net288,8.26µm
net131,8.21µm
_0159_,8.2µm
_0247_,8.16µm
_0349_,8.16µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.state\[3\],8.1µm
net18,8.06µm
_0251_,7.98µm
i_rst_n,7.98µm
_0487_,7.95µm
net214,7.9µm
net197,7.885µm
i_mode_reg[0],7.87µm
_0374_,7.86µm
net169,7.84µm
_0103_,7.82µm
_0115_,7.82µm
_0398_,7.82µm
_0527_,7.82µm
net98,7.76µm
net249,7.74µm
_0162_,7.72µm
_0202_,7.72µm
_0212_,7.72µm
_0270_,7.64µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.state\[6\],7.64µm
_0220_,7.6µm
_0464_,7.6µm
_0126_,7.59µm
_0246_,7.56µm
_0466_,7.56µm
net201,7.56µm
_0268_,7.52µm
_0381_,7.52µm
_0422_,7.52µm
_0323_,7.4µm
_0167_,7.37µm
_0262_,7.365µm
net234,7.32µm
net129,7.315µm
_0078_,7.3µm
_0193_,7.3µm
_0205_,7.26µm
_0528_,7.24µm
_0306_,7.22µm
_0423_,7.22µm
net181,7.14µm
_0224_,7.105µm
_0458_,7.1µm
_0088_,7.06µm
_0238_,7.06µm
net163,6.98µm
net130,6.96µm
_0403_,6.94µm
net166,6.92µm
net254,6.92µm
net177,6.9µm
_0194_,6.84µm
_0195_,6.84µm
_0243_,6.84µm
_0100_,6.8µm
_0127_,6.8µm
_0172_,6.8µm
_0183_,6.8µm
_0184_,6.8µm
_0489_,6.76µm
net20,6.76µm
u_i2c_master_controller.soft_reset_d1,6.76µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.state\[9\],6.72µm
net224,6.72µm
_0514_,6.715µm
_0378_,6.7µm
_0003_,6.64µm
_0016_,6.6µm
_0312_,6.6µm
net193,6.6µm
net242,6.6µm
_0408_,6.54µm
_0500_,6.54µm
_0357_,6.52µm
_0452_,6.52µm
_0484_,6.52µm
net237,6.52µm
_0252_,6.48µm
net275,6.48µm
