Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_49_305,VPWR,li1,146.5100,144.1600,1.799960
FILLER_49_302,VPWR,li1,145.1300,144.1600,1.799960
FILLER_49_299,VPWR,li1,143.7500,144.1600,1.799960
FILLER_49_296,VPWR,li1,142.3700,144.1600,1.799960
FILLER_49_293,VPWR,li1,140.9900,144.1600,1.799960
FILLER_49_290,VPWR,li1,139.6100,144.1600,1.799960
FILLER_49_287,VPWR,li1,138.2300,144.1600,1.799960
FILLER_49_284,VPWR,li1,136.8500,144.1600,1.799960
FILLER_49_281,VPWR,li1,135.4700,144.1600,1.799960
FILLER_49_279,VPWR,li1,134.0900,144.1600,1.799960
FILLER_49_276,VPWR,li1,133.1700,144.1600,1.799960
FILLER_49_273,VPWR,li1,131.7900,144.1600,1.799960
FILLER_49_270,VPWR,li1,130.4100,144.1600,1.799960
FILLER_49_267,VPWR,li1,129.0300,144.1600,1.799960
FILLER_49_264,VPWR,li1,127.6500,144.1600,1.799960
FILLER_49_261,VPWR,li1,126.2700,144.1600,1.799960
FILLER_49_258,VPWR,li1,124.8900,144.1600,1.799960
FILLER_49_255,VPWR,li1,123.5100,144.1600,1.799960
FILLER_49_252,VPWR,li1,122.1300,144.1600,1.799960
FILLER_49_249,VPWR,li1,120.7500,144.1600,1.799960
FILLER_49_246,VPWR,li1,119.3700,144.1600,1.799960
FILLER_49_243,VPWR,li1,117.9900,144.1600,1.799960
FILLER_49_240,VPWR,li1,116.6100,144.1600,1.799960
FILLER_49_237,VPWR,li1,115.2300,144.1600,1.799960
FILLER_49_234,VPWR,li1,113.8500,144.1600,1.799960
FILLER_49_231,VPWR,li1,112.4700,144.1600,1.799960
FILLER_49_228,VPWR,li1,111.0900,144.1600,1.799960
FILLER_49_225,VPWR,li1,109.7100,144.1600,1.799960
FILLER_49_223,VPWR,li1,108.3300,144.1600,1.799960
FILLER_49_220,VPWR,li1,107.4100,144.1600,1.799960
FILLER_49_217,VPWR,li1,106.0300,144.1600,1.799960
FILLER_49_214,VPWR,li1,104.6500,144.1600,1.799960
FILLER_49_211,VPWR,li1,103.2700,144.1600,1.799960
FILLER_49_208,VPWR,li1,101.8900,144.1600,1.799960
FILLER_49_205,VPWR,li1,100.5100,144.1600,1.799960
FILLER_49_202,VPWR,li1,99.1300,144.1600,1.799960
FILLER_49_199,VPWR,li1,97.7500,144.1600,1.799960
FILLER_49_196,VPWR,li1,96.3700,144.1600,1.799960
FILLER_49_193,VPWR,li1,94.9900,144.1600,1.799960
FILLER_49_190,VPWR,li1,93.6100,144.1600,1.799960
FILLER_49_187,VPWR,li1,92.2300,144.1600,1.799960
FILLER_49_184,VPWR,li1,90.8500,144.1600,1.799960
FILLER_49_181,VPWR,li1,89.4700,144.1600,1.799960
FILLER_49_178,VPWR,li1,88.0900,144.1600,1.799960
FILLER_49_175,VPWR,li1,86.7100,144.1600,1.799960
FILLER_49_172,VPWR,li1,85.3300,144.1600,1.799960
FILLER_49_169,VPWR,li1,83.9500,144.1600,1.799960
FILLER_49_166,VPWR,li1,82.3400,144.1600,1.799960
FILLER_49_163,VPWR,li1,81.1900,144.1600,1.799960
FILLER_49_160,VPWR,li1,79.8100,144.1600,1.799960
FILLER_49_157,VPWR,li1,78.4300,144.1600,1.799960
FILLER_49_154,VPWR,li1,77.0500,144.1600,1.799960
FILLER_49_151,VPWR,li1,75.6700,144.1600,1.799960
FILLER_49_148,VPWR,li1,74.2900,144.1600,1.799960
FILLER_49_145,VPWR,li1,72.9100,144.1600,1.799960
FILLER_49_142,VPWR,li1,71.5300,144.1600,1.799960
FILLER_49_113,VPWR,li1,57.7300,144.1600,1.799963
FILLER_49_111,VPWR,li1,56.8100,144.1600,1.799963
FILLER_49_108,VPWR,li1,55.8900,144.1600,1.799964
FILLER_49_105,VPWR,li1,54.5100,144.1600,1.799964
FILLER_49_102,VPWR,li1,53.1300,144.1600,1.799965
FILLER_49_99,VPWR,li1,51.7500,144.1600,1.799965
FILLER_49_76,VPWR,li1,40.9400,144.1600,1.799971
FILLER_49_73,VPWR,li1,39.7900,144.1600,1.799973
FILLER_49_70,VPWR,li1,38.4100,144.1600,1.799973
FILLER_49_44,VPWR,li1,26.2200,144.1600,1.799983
FILLER_48_307,VPWR,li1,146.9700,144.1600,1.799960
FILLER_48_304,VPWR,li1,146.0500,144.1600,1.799960
FILLER_48_301,VPWR,li1,144.6700,144.1600,1.799960
FILLER_48_298,VPWR,li1,143.2900,144.1600,1.799960
FILLER_48_295,VPWR,li1,141.9100,144.1600,1.799960
FILLER_48_292,VPWR,li1,140.5300,144.1600,1.799960
FILLER_48_289,VPWR,li1,139.1500,144.1600,1.799960
FILLER_48_286,VPWR,li1,137.7700,144.1600,1.799960
FILLER_48_283,VPWR,li1,136.3900,144.1600,1.799960
FILLER_48_280,VPWR,li1,135.0100,144.1600,1.799960
FILLER_48_277,VPWR,li1,133.6300,144.1600,1.799960
FILLER_48_274,VPWR,li1,132.2500,144.1600,1.799960
FILLER_48_271,VPWR,li1,130.8700,144.1600,1.799960
FILLER_48_268,VPWR,li1,129.4900,144.1600,1.799960
FILLER_48_265,VPWR,li1,128.1100,144.1600,1.799960
FILLER_48_262,VPWR,li1,126.7300,144.1600,1.799960
FILLER_48_259,VPWR,li1,125.3500,144.1600,1.799960
FILLER_48_256,VPWR,li1,123.9700,144.1600,1.799960
FILLER_48_253,VPWR,li1,122.5900,144.1600,1.799960
FILLER_48_251,VPWR,li1,121.2100,144.1600,1.799960
FILLER_48_248,VPWR,li1,120.2900,144.1600,1.799960
FILLER_48_245,VPWR,li1,118.9100,144.1600,1.799960
FILLER_48_242,VPWR,li1,117.5300,144.1600,1.799960
FILLER_48_239,VPWR,li1,116.1500,144.1600,1.799960
FILLER_48_236,VPWR,li1,114.7700,144.1600,1.799960
FILLER_48_233,VPWR,li1,113.3900,144.1600,1.799960
FILLER_48_230,VPWR,li1,112.0100,144.1600,1.799960
FILLER_48_227,VPWR,li1,110.6300,144.1600,1.799960
FILLER_48_224,VPWR,li1,109.2500,144.1600,1.799960
FILLER_48_221,VPWR,li1,107.8700,144.1600,1.799960
FILLER_48_218,VPWR,li1,106.4900,144.1600,1.799960
FILLER_48_215,VPWR,li1,105.1100,144.1600,1.799960
FILLER_48_212,VPWR,li1,103.7300,144.1600,1.799960
FILLER_48_209,VPWR,li1,102.3500,144.1600,1.799960
FILLER_48_206,VPWR,li1,100.9700,144.1600,1.799960
FILLER_48_203,VPWR,li1,99.5900,144.1600,1.799960
FILLER_48_200,VPWR,li1,98.2100,144.1600,1.799960
FILLER_48_197,VPWR,li1,96.8300,144.1600,1.799960
FILLER_48_195,VPWR,li1,95.4500,144.1600,1.799960
FILLER_48_192,VPWR,li1,94.5300,144.1600,1.799960
FILLER_48_189,VPWR,li1,93.1500,144.1600,1.799960
FILLER_48_186,VPWR,li1,91.7700,144.1600,1.799960
FILLER_48_183,VPWR,li1,90.3900,144.1600,1.799960
